"id","line_no","script","path","updated_script","file_path","version","vulnerable","zap_col_1"
"16210","5566","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump/index_5_feb_2021.html","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump","0","1",
"16220","4192","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump/index_Backup-13-08-2020_niu.html","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump","0","1",
"16232","5693","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump/index_Backup_22-Apr-2021.html","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump","0","1",
"16243","5962","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump/index_old(12-05-2021).html","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump","0","1",
"16253","5962","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump/index_old(2020-05-17).html","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs/dump","0","1",
"16264","4079","<script type=""text/javascript"" src=""js/jquery.1.6.4.js""></script>","https://justcall.io/developer-docs_8_jun/index.html","<script type=""text/javascript"" src=""https://justcall.io/developer-docs_8_jun/js/jquery.1.6.4.js""></script>","https://justcall.io/developer-docs_8_jun/","0","1",
"16265","4080","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs_8_jun/index.html","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs_8_jun","0","1",
"16275","2624","<script type=""text/javascript"" src=""js/jquery.1.6.4.js""></script>","https://justcall.io/developer-docs_8_jun/index1.html","<script type=""text/javascript"" src=""https://justcall.io/developer-docs_8_jun/js/jquery.1.6.4.js""></script>","https://justcall.io/developer-docs_8_jun/","0","1",
"16276","2625","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs_8_jun/index1.html","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs_8_jun","0","1",
"16285","3489","<script type=""text/javascript"" src=""js/jquery.1.6.4.js""></script>","https://justcall.io/developer-docs_8_jun/index_11_May_2020_niu.html","<script type=""text/javascript"" src=""https://justcall.io/developer-docs_8_jun/js/jquery.1.6.4.js""></script>","https://justcall.io/developer-docs_8_jun/","0","1",
"16286","3490","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs_8_jun/index_11_May_2020_niu.html","<script type=""text/javascript"" src=""https://code.jquery.com/jquery-3.2.1.min.js""></script>","https://justcall.io/developer-docs_8_jun","0","1",
"16296","48","<script src=""//ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js""></script>","https://justcall.io/div/index.php","<script src=""//ajax.googleapis.com/ajax/libs/jquery/2.1.4/jquery.min.js""></script>","https://justcall.io/div","0","1",
"16298","9","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump/call-center-software-integration_copy.php","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump","0","1",
"16299","10","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump/call-center-software-integration_copy.php","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump","0","1",
"16303","1435","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/dump/call-center-software-integration_copy.php","<script src=""https://cdn.justcall.io/main/assets/js/bootstrap.min.js""></script>","https://justcall.io/dump","0","1",
"16305","1443","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump/call-center-software-integration_copy.php","<script src=""https://ajax.googleapis.com/ajax/libs/jquery/2.1.3/jquery.min.js""></script>","https://justcall.io/dump","0","1",
